Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-6.929,0.0,0.0
2,-6.239,1.34,3.056
3,-5.776,7.219,9.278
4,-5.683,2.341,4.321
5,-5.655,8.224,10.076
6,-5.622,2.388,3.766
7,-5.561,1.039,1.443
8,-5.552,2.206,3.502
9,-5.542,1.767,3.315
10,-5.501,2.088,4.12
11,-5.335,2.083,2.699
12,-5.293,6.586,8.645
13,-5.287,2.037,3.546
14,-5.228,6.113,8.137
15,-5.124,6.988,8.895
16,-5.104,2.423,4.917
17,-4.942,2.111,4.135
18,-4.88,6.554,8.236
19,-4.841,6.487,8.115
