Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-5.776,0.0,0.0
2,-5.774,3.984,9.383
3,-5.761,5.089,8.908
4,-5.733,1.951,2.91
5,-5.706,4.79,8.131
6,-5.679,4.218,9.936
7,-5.665,5.169,8.417
8,-5.652,5.29,8.762
9,-5.624,5.194,7.712
10,-5.612,5.137,8.307
11,-5.604,5.034,8.076
12,-5.592,4.306,8.902
13,-5.579,4.937,8.311
14,-5.564,4.868,10.405
15,-5.553,4.945,8.167
16,-5.549,5.282,8.764
17,-5.549,1.619,2.659
18,-5.547,5.264,8.37
19,-5.502,4.93,8.206
20,-5.5,4.968,11.304
