Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-8.919,0.0,0.0
2,-8.813,1.69,6.67
3,-8.774,1.168,5.395
4,-8.75,1.833,5.582
5,-8.72,1.532,2.364
6,-8.659,1.968,6.135
7,-8.652,0.933,5.716
8,-8.625,1.749,5.633
9,-8.609,1.418,5.268
10,-8.556,3.505,6.145
11,-8.452,3.629,7.055
12,-8.451,1.697,6.627
13,-8.363,1.591,5.57
14,-8.349,3.724,5.354
15,-8.202,3.33,4.823
16,-8.162,1.56,6.686
17,-8.152,2.518,5.944
18,-8.131,2.736,7.537
19,-8.118,3.093,5.981
20,-8.078,3.068,6.197
