Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-5.623,0.0,0.0
2,-5.299,2.779,4.083
3,-5.266,1.65,4.775
4,-5.031,1.29,3.157
5,-4.945,2.493,4.21
6,-4.81,1.847,3.683
7,-4.594,15.659,17.267
8,-4.58,7.572,8.43
9,-4.544,1.724,2.157
10,-4.53,7.548,7.917
11,-4.529,2.077,3.849
12,-4.491,9.364,10.206
13,-4.477,15.191,16.529
14,-4.449,9.509,10.03
15,-4.429,15.222,16.441
16,-4.393,2.064,3.529
17,-4.333,14.833,16.52
18,-4.331,8.644,9.81
19,-4.308,7.613,8.569
20,-4.294,7.738,9.362
