Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-5.205,0.0,0.0
2,-5.192,1.826,2.484
3,-5.179,2.351,3.265
4,-5.053,2.245,3.219
5,-4.907,1.522,2.875
6,-4.906,2.287,3.353
7,-4.809,3.15,5.344
8,-4.785,2.386,3.961
9,-4.773,2.192,3.972
10,-4.728,3.046,5.281
11,-4.71,3.357,5.68
12,-4.703,2.849,4.002
13,-4.653,2.385,4.241
14,-4.638,2.966,5.019
15,-4.615,2.401,3.882
16,-4.584,1.596,3.618
17,-4.584,3.578,6.741
18,-4.515,2.417,5.3
19,-4.484,3.891,6.508
20,-4.413,5.151,8.066
