Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-5.792,0.0,0.0
2,-5.47,2.173,2.836
3,-5.404,1.748,2.078
4,-5.004,2.684,3.455
5,-4.929,4.45,7.463
6,-4.911,4.808,9.076
7,-4.671,3.823,13.387
8,-4.55,4.24,7.428
9,-4.236,2.38,3.237
10,-4.084,2.425,3.261
11,-4.072,5.743,9.366
12,-3.889,1.942,2.4
13,-3.788,5.986,8.366
14,-3.749,3.812,13.035
15,-3.296,3.848,5.876
16,-3.059,5.485,7.957
17,-2.901,5.528,9.799
