Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-4.772,0.0,0.0
2,-4.734,1.376,3.689
3,-4.7,3.032,5.244
4,-4.698,1.856,3.873
5,-4.666,1.185,2.0
6,-4.654,1.368,3.923
7,-4.645,1.075,3.701
8,-4.639,1.509,4.122
9,-4.576,1.16,3.715
10,-4.551,2.623,4.646
11,-4.516,1.723,2.681
12,-4.512,3.003,4.495
13,-4.466,2.684,4.814
14,-4.428,2.546,2.962
15,-4.396,2.415,4.636
16,-4.385,1.493,3.169
17,-4.305,3.277,4.977
18,-4.222,3.529,7.415
19,-4.214,2.953,5.452
20,-4.143,3.478,7.915
