Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-6.914,0.0,0.0
2,-6.419,1.136,5.589
3,-6.307,2.889,5.484
4,-6.289,0.951,5.264
5,-6.163,1.157,5.249
6,-6.12,1.109,1.855
7,-6.097,3.045,4.742
8,-5.929,2.956,5.622
9,-5.843,2.839,7.235
10,-5.838,2.704,5.87
11,-5.67,1.719,6.742
12,-5.531,2.707,4.882
13,-5.528,3.189,6.339
14,-5.503,1.501,6.643
15,-5.455,2.72,6.01
16,-5.447,2.911,5.619
17,-5.398,2.807,5.313
18,-5.24,13.113,16.405
19,-5.064,2.462,5.868
20,-4.836,3.071,4.309
