Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-5.766,0.0,0.0
2,-5.72,1.922,5.406
3,-5.683,2.221,5.811
4,-5.68,2.437,7.679
5,-5.676,2.09,5.6
6,-5.659,2.145,6.489
7,-5.654,1.783,5.84
8,-5.597,1.407,5.273
9,-5.593,3.285,6.248
10,-5.585,2.047,5.372
11,-5.578,1.833,6.29
12,-5.509,3.407,6.8
13,-5.491,2.342,5.827
14,-5.457,2.491,5.509
15,-5.448,1.575,2.028
16,-5.419,2.577,7.545
17,-5.413,1.642,6.536
18,-5.395,2.466,5.586
19,-5.393,2.848,4.807
20,-5.383,3.723,6.613
