Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-6.138,0.0,0.0
2,-5.95,0.966,1.143
3,-5.936,1.469,2.062
4,-5.922,1.565,2.058
5,-5.892,1.793,2.43
6,-5.816,2.316,3.426
7,-5.646,6.022,7.544
8,-5.542,1.621,1.765
9,-5.529,5.23,7.676
10,-5.508,6.342,8.016
11,-5.435,2.854,3.227
12,-5.362,3.22,3.696
13,-5.361,2.285,3.425
14,-5.328,5.512,8.08
15,-5.309,5.794,7.96
16,-5.214,4.154,6.781
17,-5.202,11.83,12.911
18,-5.098,5.715,6.776
19,-5.055,3.133,4.511
