Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-6.475,0.0,0.0
2,-6.346,3.578,11.349
3,-6.338,3.995,10.491
4,-6.283,1.102,1.855
5,-6.181,4.16,11.508
6,-5.988,2.162,3.437
7,-5.782,1.842,2.78
8,-5.694,1.156,2.221
9,-5.598,3.724,11.651
10,-5.573,3.94,11.94
11,-5.538,1.974,3.444
12,-5.533,3.671,11.271
13,-5.502,5.737,10.0
14,-5.458,1.573,3.082
15,-5.366,5.062,8.074
16,-5.335,3.692,12.484
17,-5.29,10.236,12.619
18,-5.287,4.036,10.464
19,-5.26,6.097,9.956
