Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-6.576,0.0,0.0
2,-6.484,1.977,3.466
3,-6.479,5.039,6.773
4,-6.459,1.507,3.068
5,-6.289,2.227,3.708
6,-6.285,2.099,2.587
7,-6.199,6.613,8.398
8,-6.166,2.191,4.269
9,-6.163,16.724,18.16
10,-6.16,2.312,4.458
11,-6.081,3.192,4.726
12,-6.027,1.819,3.401
13,-6.018,2.676,5.089
14,-6.008,1.265,3.733
15,-6.007,4.446,5.721
16,-5.998,3.046,3.953
17,-5.974,5.104,6.849
18,-5.904,19.504,21.142
19,-5.89,3.593,5.376
