Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-5.618,0.0,0.0
2,-5.265,1.272,1.295
3,-4.942,1.156,1.183
4,-4.913,14.947,16.201
5,-4.837,2.58,3.236
6,-4.737,1.73,2.254
7,-4.688,8.945,9.695
8,-4.622,7.642,8.799
9,-4.552,3.071,4.831
10,-4.535,1.892,2.517
11,-4.532,9.728,10.504
12,-4.41,8.459,9.267
13,-4.369,9.702,10.644
14,-4.332,10.52,11.584
15,-4.303,7.831,8.825
16,-4.293,8.843,9.954
17,-4.282,8.282,8.787
18,-4.265,9.716,10.764
19,-4.146,8.889,9.74
