Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-6.455,0.0,0.0
2,-6.315,1.99,3.315
3,-6.278,1.706,2.167
4,-6.129,3.122,3.842
5,-5.717,2.422,5.0
6,-5.681,1.99,4.781
7,-5.654,2.883,3.848
8,-5.611,9.561,11.061
9,-5.57,1.709,3.533
10,-5.564,2.357,4.009
11,-5.486,1.277,3.003
12,-5.447,2.616,4.629
13,-5.304,9.405,11.346
14,-5.1,11.364,12.419
15,-5.087,3.344,4.773
16,-5.081,1.95,4.491
17,-5.079,2.705,3.988
18,-5.026,2.43,4.237
19,-4.928,9.629,10.755
