Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-7.143,0.0,0.0
2,-6.926,2.71,7.27
3,-6.868,6.975,10.142
4,-6.792,2.724,7.234
5,-6.75,3.939,8.018
6,-6.744,4.539,8.468
7,-6.732,1.476,2.581
8,-6.701,2.985,7.245
9,-6.697,4.919,8.785
10,-6.624,2.912,6.556
11,-6.621,2.897,5.682
12,-6.613,6.682,9.213
13,-6.569,4.143,8.073
14,-6.452,4.723,8.463
15,-6.328,2.703,6.958
16,-6.242,1.461,5.31
17,-6.233,2.694,5.133
18,-6.231,4.667,7.859
19,-6.215,1.391,5.398
20,-6.183,3.043,6.314
