Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-6.629,0.0,0.0
2,-6.4,3.985,5.368
3,-6.387,4.485,5.867
4,-6.288,1.705,2.292
5,-6.187,2.691,3.857
6,-6.066,4.345,5.796
7,-5.996,1.843,2.317
8,-5.894,3.258,4.673
9,-5.845,3.667,4.88
10,-5.799,2.02,2.552
11,-5.652,6.345,7.786
12,-5.648,3.922,5.055
13,-5.483,2.13,2.858
14,-5.383,8.055,9.412
15,-5.267,5.273,6.142
16,-5.24,6.446,7.916
17,-5.097,5.015,6.625
18,-5.058,11.279,12.378
19,-5.031,5.852,7.17
20,-4.891,10.026,10.577
