Model,Affinity (kcal/mol),RMSD l.b. (Å),RMSD u.b. (Å)
1,-6.584,0.0,0.0
2,-6.565,1.793,2.276
3,-6.429,5.849,8.188
4,-6.279,3.471,5.95
5,-6.271,2.17,2.796
6,-6.213,2.514,3.156
7,-6.177,15.036,16.285
8,-6.121,2.356,2.942
9,-6.115,14.0,15.008
10,-6.046,1.852,2.265
11,-6.043,5.938,8.253
12,-6.016,2.082,2.774
13,-6.011,5.805,7.724
14,-5.956,3.082,3.987
15,-5.91,2.34,3.003
16,-5.852,2.126,3.036
17,-5.827,2.766,3.754
18,-5.819,5.368,7.346
19,-5.818,8.378,10.014
20,-5.779,3.743,6.033
