akscore2_nondock	akscore2_dock	akscore2_ens
0.0	0.246	0.0
0.0003	0.6757	0.0002
0.0	-1.6414	-0.0
0.0696	-1.6638	-0.1159
0.0002	-3.2552	-0.0006
0.0007	-1.8993	-0.0013
0.1197	-2.6382	-0.3157
0.0	-2.4311	-0.0
0.0	-1.7707	-0.0
0.0166	-3.9684	-0.0661
0.0	-1.669	-0.0
0.0	-1.8398	-0.0
0.0	-2.3176	-0.0
0.2091	-2.9184	-0.6102
0.0	0.6289	0.0
0.0	-2.2483	-0.0
0.0005	-2.2274	-0.0011
