akscore2_nondock	akscore2_dock	akscore2_ens
0.0002	-0.8354	-0.0001
0.001	-3.1447	-0.003
0.0	-0.1571	-0.0
0.0003	-2.3095	-0.0008
0.0	0.012	0.0
0.099	-4.4323	-0.4386
0.0003	-2.7863	-0.0009
0.099	-4.7278	-0.4678
0.0003	-2.1382	-0.0007
0.1653	-2.281	-0.377
0.099	-5.1845	-0.513
0.0	0.6706	0.0
0.0002	-3.6181	-0.0006
0.0	1.0195	0.0
0.0	2.2996	0.0
0.0915	-6.4035	-0.5859
0.4364	-4.7424	-2.0697
0.0	1.3406	0.0
0.0	-0.0603	-0.0
